City,State
Port Blair,Andaman and Nicobar Islands
Diglipur,Andaman and Nicobar Islands
Rongat,Andaman and Nicobar Islands
Other,Andaman and Nicobar Islands
Vishakhapatnam,Andhra Pradesh
Vijayawada,Andhra Pradesh
Karimnagar,Andhra Pradesh
Warangal,Andhra Pradesh
Guntur,Andhra Pradesh
Nellore,Andhra Pradesh
Kurnool,Andhra Pradesh
Kakinada,Andhra Pradesh
Cuddapah,Andhra Pradesh
Rajahmundry,Andhra Pradesh
Nizamabad,Andhra Pradesh
Tirupati,Andhra Pradesh
Anantapur,Andhra Pradesh
Malkajgiri,Andhra Pradesh
Tuni,Andhra Pradesh
Ramgundam,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Gadda Madiral,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Secunderabad,Andhra Pradesh
Kapra,Andhra Pradesh
Ongole,Andhra Pradesh
Ellore,Andhra Pradesh
Nandyal,Andhra Pradesh
Khammam,Andhra Pradesh
Mahbubnagar,Andhra Pradesh
Alasandigutta,Andhra Pradesh
Madanapalle,Andhra Pradesh
Wadlakonda,Andhra Pradesh
Chittoor,Andhra Pradesh
Chirala,Andhra Pradesh
Adoni,Andhra Pradesh
Tenali,Andhra Pradesh
Proddatur,Andhra Pradesh
Nalgonda,Andhra Pradesh
Hindupur,Andhra Pradesh
Nuzvid,Andhra Pradesh
Bhimavaram,Andhra Pradesh
Chicacole,Andhra Pradesh
Guntakal,Andhra Pradesh
Alwal,Andhra Pradesh
Sarangapuram,Andhra Pradesh
Dharmavaram,Andhra Pradesh
Jandrapeta,Andhra Pradesh
Gudivada,Andhra Pradesh
Adilabad,Andhra Pradesh
Narasaraopet,Andhra Pradesh
Mancheral,Andhra Pradesh
Mirialguda,Andhra Pradesh
Tadpatri,Andhra Pradesh
Suriapet,Andhra Pradesh
Tadepallegudem,Andhra Pradesh
Amaravati,Andhra Pradesh
Chilakalurupet,Andhra Pradesh
Suramala,Andhra Pradesh
Kalluru,Andhra Pradesh
Pedagadi,Andhra Pradesh
Emmiganur,Andhra Pradesh
Yalamakuru,Andhra Pradesh
Rayachoti,Andhra Pradesh
Paloncha,Andhra Pradesh
Kavali,Andhra Pradesh
Kadiri,Andhra Pradesh
Nirmal,Andhra Pradesh
Anakapalle,Andhra Pradesh
Chinnachauku,Andhra Pradesh
Sirsilla,Andhra Pradesh
Kamareddipet,Andhra Pradesh
Peruvancha,Andhra Pradesh
Kottagudem,Andhra Pradesh
Tanuku,Andhra Pradesh
Bodhan,Andhra Pradesh
Yanam,Andhra Pradesh
Gangammapeta,Andhra Pradesh
Pennepalli,Andhra Pradesh
Gudur,Andhra Pradesh
Mangalagiri,Andhra Pradesh
Sangareddi,Andhra Pradesh
Rayadrug,Andhra Pradesh
Tandur,Andhra Pradesh
Markapur,Andhra Pradesh
Bapatla,Andhra Pradesh
